Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2000,2000,ha," 1,500,000.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2000,2000,kg/ha," 1,440.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2000,2000,t," 2,160,000.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2001,2001,ha," 1,640,000.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2001,2001,kg/ha," 1,701.20 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2001,2001,t," 2,790,000.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2002,2002,ha," 1,592,315.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2002,2002,kg/ha," 1,512.60 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2002,2002,t," 2,408,596.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2003,2003,ha," 1,670,914.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2003,2003,kg/ha," 1,622.40 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2003,2003,t," 2,710,848.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2004,2004,ha," 1,351,327.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2004,2004,kg/ha," 1,929.30 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2004,2004,t," 2,607,139.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2005,2005,ha," 1,771,123.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2005,2005,kg/ha," 1,640.50 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2005,2005,t," 2,905,559.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2006,2006,ha," 1,888,185.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2006,2006,kg/ha," 1,719.70 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2006,2006,t," 3,247,200.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2007,2007,ha," 1,615,304.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2007,2007,kg/ha," 1,813.20 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2007,2007,t," 2,928,793.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2008,2008,ha," 1,700,000.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2008,2008,kg/ha," 1,392.50 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2008,2008,t," 2,367,237.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2009,2009,ha," 1,884,368.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2009,2009,kg/ha," 1,294.30 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2009,2009,t," 2,439,000.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2010,2010,ha," 2,008,346.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2010,2010,kg/ha," 1,725.10 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2010,2010,t," 3,464,541.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2011,2011,ha," 2,131,887.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2011,2011,kg/ha," 1,584.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2011,2011,t," 3,376,862.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2012,2012,ha," 2,159,322.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2012,2012,kg/ha," 1,736.60 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2012,2012,t," 3,749,880.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2013,2013,ha," 2,123,138.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2013,2013,kg/ha," 1,692.20 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2013,2013,t," 3,592,688.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2014,2014,ha," 2,116,141.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2014,2014,kg/ha," 1,660.20 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2014,2014,t," 3,513,171.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2015,2015,ha," 2,098,240.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2015,2015,kg/ha," 1,823.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2015,2015,t," 3,825,000.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2016,2016,ha," 2,337,586.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2016,2016,kg/ha," 1,428.40 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2016,2016,t," 3,339,000.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2017,2017,ha," 2,086,178.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2017,2017,kg/ha," 1,527.20 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2017,2017,t," 3,186,000.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2018,2018,ha," 2,273,283.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2018,2018,kg/ha," 1,765.60 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2018,2018,t," 4,013,777.44 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2019,2019,ha," 2,296,174.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,112,Maize (corn),2019,2019,kg/ha," 1,560.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,112,Maize (corn),2019,2019,t," 3,582,000.00 ",A,Official figure,
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,112,Maize (corn),2020,2020,ha," 2,135,741.00 ",A,Official figure,
