domain,area_code_m49,area,element_code,element,item,year,unit,value
Crops and livestock products,404,Kenya,5312,Area harvested,Maize (corn),2000,ha,1500000
Crops and livestock products,404,Kenya,5412,Yield,Maize (corn),2000,kg/ha,1440
Crops and livestock products,404,Kenya,5510,Production,Maize (corn),2000,t,2160000
Crops and livestock products,404,Kenya,5312,Area harvested,Maize (corn),2001,ha,1640000
Crops and livestock products,404,Kenya,5412,Yield,Maize (corn),2001,kg/ha,1701.2
Crops and livestock products,404,Kenya,5510,Production,Maize (corn),2001,t,2790000
Crops and livestock products,404,Kenya,5312,Area harvested,Maize (corn),2002,ha,1592315
Crops and livestock products,404,Kenya,5412,Yield,Maize (corn),2002,kg/ha,1512.6
Crops and livestock products,404,Kenya,5510,Production,Maize (corn),2002,t,2408596
Crops and livestock products,404,Kenya,5312,Area harvested,Maize (corn),2003,ha,1670914
Crops and livestock products,404,Kenya,5412,Yield,Maize (corn),2003,kg/ha,1622.4
Crops and livestock products,404,Kenya,5510,Production,Maize (corn),2003,t,2710848
Crops and livestock products,404,Kenya,5312,Area harvested,Maize (corn),2004,ha,1351327
Crops and livestock products,404,Kenya,5412,Yield,Maize (corn),2004,kg/ha,1929.3
Crops and livestock products,404,Kenya,5510,Production,Maize (corn),2004,t,2607139
Crops and livestock products,404,Kenya,5312,Area harvested,Maize (corn),2005,ha,1771123
Crops and livestock products,404,Kenya,5412,Yield,Maize (corn),2005,kg/ha,1640.5
Crops and livestock products,404,Kenya,5510,Production,Maize (corn),2005,t,2905559
Crops and livestock products,404,Kenya,5312,Area harvested,Maize (corn),2006,ha,1888185
Crops and livestock products,404,Kenya,5412,Yield,Maize (corn),2006,kg/ha,1719.7
Crops and livestock products,404,Kenya,5510,Production,Maize (corn),2006,t,3247200
Crops and livestock products,404,Kenya,5312,Area harvested,Maize (corn),2007,ha,1615304
Crops and livestock products,404,Kenya,5412,Yield,Maize (corn),2007,kg/ha,1813.2
Crops and livestock products,404,Kenya,5510,Production,Maize (corn),2007,t,2928793
Crops and livestock products,404,Kenya,5312,Area harvested,Maize (corn),2008,ha,1700000
Crops and livestock products,404,Kenya,5412,Yield,Maize (corn),2008,kg/ha,1392.5
Crops and livestock products,404,Kenya,5510,Production,Maize (corn),2008,t,2367237
Crops and livestock products,404,Kenya,5312,Area harvested,Maize (corn),2009,ha,1884368
Crops and livestock products,404,Kenya,5412,Yield,Maize (corn),2009,kg/ha,1294.3
Crops and livestock products,404,Kenya,5510,Production,Maize (corn),2009,t,2439000
Crops and livestock products,404,Kenya,5312,Area harvested,Maize (corn),2010,ha,2008346
Crops and livestock products,404,Kenya,5412,Yield,Maize (corn),2010,kg/ha,1725.1
